HALE,Country,Year,Sex,Age Expectancy,Latitude,Longitude
Healthy life expectancy (HALE) at birth (years),Lesotho,2019,Male,42.3,-29.5,28.5
Healthy life expectancy (HALE) at birth (years),Lesotho,2019,Both sexes,44.2,-29.5,28.5
Healthy life expectancy (HALE) at birth (years),Central African Republic,2019,Male,44.5,7.0,21.0
Healthy life expectancy (HALE) at birth (years),Central African Republic,2019,Both sexes,46.4,7.0,21.0
Healthy life expectancy (HALE) at birth (years),Lesotho,2019,Female,46.4,-29.5,28.5
Healthy life expectancy (HALE) at birth (years),Eswatini,2019,Male,47.1,,
Healthy life expectancy (HALE) at birth (years),Mozambique,2019,Male,47.9,-18.25,35.0
Healthy life expectancy (HALE) at birth (years),Somalia,2019,Male,48.3,10.0,49.0
Healthy life expectancy (HALE) at birth (years),Central African Republic,2019,Female,48.4,7.0,21.0
Healthy life expectancy (HALE) at birth (years),Somalia,2019,Both sexes,49.7,10.0,49.0
Healthy life expectancy (HALE) at birth (years),Eswatini,2019,Both sexes,50.1,,
Healthy life expectancy (HALE) at birth (years),Mozambique,2019,Both sexes,50.4,-18.25,35.0
Healthy life expectancy (HALE) at birth (years),Kiribati,2019,Male,50.5,1.42,173.0
Healthy life expectancy (HALE) at birth (years),Guinea-Bissau,2019,Male,51.1,12.0,-15.0
Healthy life expectancy (HALE) at birth (years),Zimbabwe,2019,Male,51.2,-20.0,30.0
Healthy life expectancy (HALE) at birth (years),Chad,2019,Male,51.3,15.0,19.0
Healthy life expectancy (HALE) at birth (years),Somalia,2019,Female,51.3,10.0,49.0
Healthy life expectancy (HALE) at birth (years),Botswana,2019,Male,51.9,-22.0,24.0
Healthy life expectancy (HALE) at birth (years),Chad,2019,Both sexes,52.0,15.0,19.0
Healthy life expectancy (HALE) at birth (years),Sierra Leone,2019,Male,52.5,8.5,-11.5
Healthy life expectancy (HALE) at birth (years),Zambia,2019,Male,52.5,-15.0,30.0
Healthy life expectancy (HALE) at birth (years),Guinea-Bissau,2019,Both sexes,52.6,12.0,-15.0
Healthy life expectancy (HALE) at birth (years),Kiribati,2019,Both sexes,52.6,1.42,173.0
Healthy life expectancy (HALE) at birth (years),Chad,2019,Female,52.8,15.0,19.0
Healthy life expectancy (HALE) at birth (years),Democratic Republic of the Congo,2019,Male,52.8,,
Healthy life expectancy (HALE) at birth (years),Mozambique,2019,Female,52.8,-18.25,35.0
Healthy life expectancy (HALE) at birth (years),Guinea,2019,Male,52.9,11.0,-10.0
Healthy life expectancy (HALE) at birth (years),Sierra Leone,2019,Both sexes,52.9,8.5,-11.5
Healthy life expectancy (HALE) at birth (years),South Sudan,2019,Male,52.9,,
Healthy life expectancy (HALE) at birth (years),Zimbabwe,2019,Both sexes,53.1,-20.0,30.0
Healthy life expectancy (HALE) at birth (years),Afghanistan,2019,Female,53.2,33.0,65.0
Healthy life expectancy (HALE) at birth (years),Guinea,2019,Both sexes,53.3,11.0,-10.0
Healthy life expectancy (HALE) at birth (years),Sierra Leone,2019,Female,53.3,8.5,-11.5
Healthy life expectancy (HALE) at birth (years),Burkina Faso,2019,Male,53.4,13.0,-2.0
Healthy life expectancy (HALE) at birth (years),Côte d’Ivoire,2019,Male,53.4,,
Healthy life expectancy (HALE) at birth (years),Equatorial Guinea,2019,Male,53.4,2.0,10.0
Healthy life expectancy (HALE) at birth (years),Namibia,2019,Male,53.4,-22.0,17.0
Healthy life expectancy (HALE) at birth (years),Cameroon,2019,Male,53.5,6.0,12.0
Healthy life expectancy (HALE) at birth (years),Angola,2019,Male,53.6,-12.5,18.5
Healthy life expectancy (HALE) at birth (years),Guinea,2019,Female,53.7,11.0,-10.0
Healthy life expectancy (HALE) at birth (years),South Sudan,2019,Both sexes,53.7,,
Healthy life expectancy (HALE) at birth (years),Eswatini,2019,Female,53.8,,
Healthy life expectancy (HALE) at birth (years),Afghanistan,2019,Both sexes,53.9,33.0,65.0
Healthy life expectancy (HALE) at birth (years),Botswana,2019,Both sexes,53.9,-22.0,24.0
Healthy life expectancy (HALE) at birth (years),Equatorial Guinea,2019,Both sexes,53.9,2.0,10.0
Healthy life expectancy (HALE) at birth (years),Eritrea,2019,Male,53.9,15.0,39.0
Healthy life expectancy (HALE) at birth (years),Nigeria,2019,Male,53.9,10.0,8.0
Healthy life expectancy (HALE) at birth (years),Burundi,2019,Male,54.0,-3.5,30.0
Healthy life expectancy (HALE) at birth (years),Democratic Republic of the Congo,2019,Both sexes,54.1,,
Healthy life expectancy (HALE) at birth (years),Equatorial Guinea,2019,Female,54.1,2.0,10.0
Healthy life expectancy (HALE) at birth (years),Guinea-Bissau,2019,Female,54.1,12.0,-15.0
Healthy life expectancy (HALE) at birth (years),Micronesia (Federated States of),2019,Male,54.4,,
Healthy life expectancy (HALE) at birth (years),Nigeria,2019,Both sexes,54.4,10.0,8.0
Healthy life expectancy (HALE) at birth (years),Zambia,2019,Both sexes,54.4,-15.0,30.0
Healthy life expectancy (HALE) at birth (years),Benin,2019,Male,54.5,9.5,2.25
Healthy life expectancy (HALE) at birth (years),Cameroon,2019,Both sexes,54.5,6.0,12.0
Healthy life expectancy (HALE) at birth (years),Mali,2019,Female,54.5,17.0,-4.0
Healthy life expectancy (HALE) at birth (years),South Sudan,2019,Female,54.5,,
Healthy life expectancy (HALE) at birth (years),Mali,2019,Both sexes,54.6,17.0,-4.0
Healthy life expectancy (HALE) at birth (years),South Africa,2019,Male,54.6,-29.0,24.0
Healthy life expectancy (HALE) at birth (years),Afghanistan,2019,Male,54.7,33.0,65.0
Healthy life expectancy (HALE) at birth (years),Togo,2019,Male,54.7,8.0,1.17
Healthy life expectancy (HALE) at birth (years),Angola,2019,Both sexes,54.8,-12.5,18.5
Healthy life expectancy (HALE) at birth (years),Côte d’Ivoire,2019,Both sexes,54.8,,
Healthy life expectancy (HALE) at birth (years),Mali,2019,Male,54.8,17.0,-4.0
Healthy life expectancy (HALE) at birth (years),Zimbabwe,2019,Female,54.8,-20.0,30.0
Healthy life expectancy (HALE) at birth (years),Burkina Faso,2019,Both sexes,54.9,13.0,-2.0
Healthy life expectancy (HALE) at birth (years),Kiribati,2019,Female,54.9,1.42,173.0
Healthy life expectancy (HALE) at birth (years),Liberia,2019,Both sexes,54.9,6.5,-9.5
Healthy life expectancy (HALE) at birth (years),Liberia,2019,Male,54.9,6.5,-9.5
Healthy life expectancy (HALE) at birth (years),Nigeria,2019,Female,54.9,10.0,8.0
Healthy life expectancy (HALE) at birth (years),Liberia,2019,Female,55.0,6.5,-9.5
Healthy life expectancy (HALE) at birth (years),Guyana,2019,Male,55.1,5.0,-59.0
