HALE,Country,Year,Sex,Age Expectancy,Latitude,Longitude
Healthy life expectancy (HALE) at age 60 (years),Afghanistan,2019,Female,10.56,33.0,65.0
Healthy life expectancy (HALE) at age 60 (years),Kiribati,2019,Female,10.99,1.42,173.0
Healthy life expectancy (HALE) at age 60 (years),Lesotho,2019,Female,11.04,-29.5,28.5
Healthy life expectancy (HALE) at age 60 (years),Central African Republic,2019,Female,11.13,7.0,21.0
Healthy life expectancy (HALE) at age 60 (years),Micronesia (Federated States of),2019,Female,11.62,,
Healthy life expectancy (HALE) at age 60 (years),Guinea-Bissau,2019,Female,12.08,12.0,-15.0
Healthy life expectancy (HALE) at age 60 (years),Somalia,2019,Female,12.15,10.0,49.0
Healthy life expectancy (HALE) at age 60 (years),Solomon Islands,2019,Female,12.19,-8.0,159.0
Healthy life expectancy (HALE) at age 60 (years),Eritrea,2019,Female,12.41,15.0,39.0
Healthy life expectancy (HALE) at age 60 (years),Vanuatu,2019,Female,12.41,-16.0,167.0
Healthy life expectancy (HALE) at age 60 (years),Zimbabwe,2019,Female,12.44,-20.0,30.0
Healthy life expectancy (HALE) at age 60 (years),Congo,2019,Female,12.54,-1.0,15.0
Healthy life expectancy (HALE) at age 60 (years),Fiji,2019,Female,12.62,-18.0,175.0
Healthy life expectancy (HALE) at age 60 (years),Pakistan,2019,Female,12.62,30.0,70.0
Healthy life expectancy (HALE) at age 60 (years),Guinea,2019,Female,12.63,11.0,-10.0
Healthy life expectancy (HALE) at age 60 (years),Chad,2019,Female,12.68,15.0,19.0
Healthy life expectancy (HALE) at age 60 (years),Mali,2019,Female,12.73,17.0,-4.0
Healthy life expectancy (HALE) at age 60 (years),Sierra Leone,2019,Female,12.8,8.5,-11.5
Healthy life expectancy (HALE) at age 60 (years),Papua New Guinea,2019,Female,12.82,-6.0,147.0
Healthy life expectancy (HALE) at age 60 (years),Eswatini,2019,Female,12.86,,
Healthy life expectancy (HALE) at age 60 (years),Haiti,2019,Female,12.86,19.0,-72.42
Healthy life expectancy (HALE) at age 60 (years),Liberia,2019,Female,12.87,6.5,-9.5
Healthy life expectancy (HALE) at age 60 (years),Madagascar,2019,Female,12.95,-20.0,47.0
Healthy life expectancy (HALE) at age 60 (years),Mozambique,2019,Female,13.02,-18.25,35.0
Healthy life expectancy (HALE) at age 60 (years),Botswana,2019,Female,13.05,-22.0,24.0
Healthy life expectancy (HALE) at age 60 (years),Qatar,2019,Female,13.1,25.5,51.25
Healthy life expectancy (HALE) at age 60 (years),South Sudan,2019,Female,13.14,,
Healthy life expectancy (HALE) at age 60 (years),Gambia,2019,Female,13.22,13.47,-16.57
Healthy life expectancy (HALE) at age 60 (years),Niger,2019,Female,13.25,16.0,8.0
Healthy life expectancy (HALE) at age 60 (years),Democratic Republic of the Congo,2019,Female,13.35,,
Healthy life expectancy (HALE) at age 60 (years),Burkina Faso,2019,Female,13.4,13.0,-2.0
Healthy life expectancy (HALE) at age 60 (years),Tajikistan,2019,Female,13.42,39.0,71.0
Healthy life expectancy (HALE) at age 60 (years),Burundi,2019,Female,13.47,-3.5,30.0
Healthy life expectancy (HALE) at age 60 (years),India,2019,Female,13.47,20.0,77.0
Healthy life expectancy (HALE) at age 60 (years),Samoa,2019,Female,13.49,-13.58,-172.33
Healthy life expectancy (HALE) at age 60 (years),Cameroon,2019,Female,13.52,6.0,12.0
Healthy life expectancy (HALE) at age 60 (years),Oman,2019,Female,13.52,21.0,57.0
Healthy life expectancy (HALE) at age 60 (years),Senegal,2019,Female,13.54,14.0,-14.0
Healthy life expectancy (HALE) at age 60 (years),Equatorial Guinea,2019,Female,13.6,2.0,10.0
Healthy life expectancy (HALE) at age 60 (years),Guyana,2019,Female,13.62,5.0,-59.0
Healthy life expectancy (HALE) at age 60 (years),Benin,2019,Female,13.66,9.5,2.25
Healthy life expectancy (HALE) at age 60 (years),Zambia,2019,Female,13.66,-15.0,30.0
Healthy life expectancy (HALE) at age 60 (years),Sao Tome and Principe,2019,Female,13.67,1.0,7.0
Healthy life expectancy (HALE) at age 60 (years),Côte d’Ivoire,2019,Female,13.68,,
Healthy life expectancy (HALE) at age 60 (years),Angola,2019,Female,13.7,-12.5,18.5
Healthy life expectancy (HALE) at age 60 (years),Yemen,2019,Female,13.73,15.0,48.0
Healthy life expectancy (HALE) at age 60 (years),Togo,2019,Female,13.8,8.0,1.17
Healthy life expectancy (HALE) at age 60 (years),Nepal,2019,Female,13.81,28.0,84.0
Healthy life expectancy (HALE) at age 60 (years),Nigeria,2019,Female,13.81,10.0,8.0
Healthy life expectancy (HALE) at age 60 (years),Timor-Leste,2019,Female,13.83,,
Healthy life expectancy (HALE) at age 60 (years),United Republic of Tanzania,2019,Female,13.89,,
Healthy life expectancy (HALE) at age 60 (years),Bahrain,2019,Female,13.9,26.0,50.55
Healthy life expectancy (HALE) at age 60 (years),Sudan,2019,Female,13.96,15.0,30.0
Healthy life expectancy (HALE) at age 60 (years),Egypt,2019,Female,13.99,27.0,30.0
Healthy life expectancy (HALE) at age 60 (years),Ghana,2019,Female,14.01,8.0,-2.0
Healthy life expectancy (HALE) at age 60 (years),Kenya,2019,Female,14.03,1.0,38.0
Healthy life expectancy (HALE) at age 60 (years),Indonesia,2019,Female,14.04,-5.0,120.0
Healthy life expectancy (HALE) at age 60 (years),Lao People's Democratic Republic,2019,Female,14.04,18.0,105.0
Healthy life expectancy (HALE) at age 60 (years),Malawi,2019,Female,14.04,-13.5,34.0
Healthy life expectancy (HALE) at age 60 (years),Mauritania,2019,Female,14.06,20.0,-12.0
Healthy life expectancy (HALE) at age 60 (years),Cambodia,2019,Female,14.09,13.0,105.0
Healthy life expectancy (HALE) at age 60 (years),Comoros,2019,Female,14.09,-12.17,44.25
Healthy life expectancy (HALE) at age 60 (years),Mongolia,2019,Female,14.16,46.0,105.0
Healthy life expectancy (HALE) at age 60 (years),Syrian Arab Republic,2019,Female,14.16,35.0,38.0
Healthy life expectancy (HALE) at age 60 (years),Namibia,2019,Female,14.19,-22.0,17.0
Healthy life expectancy (HALE) at age 60 (years),Azerbaijan,2019,Female,14.2,40.5,47.5
