HALE,Country,Year,Sex,Age Expectancy,Latitude,Longitude
Healthy life expectancy (HALE) at age 60 (years),Kiribati,2019,Both sexes,10.34,1.42,173
Healthy life expectancy (HALE) at age 60 (years),Afghanistan,2019,Both sexes,10.84,33,65
Healthy life expectancy (HALE) at age 60 (years),Eswatini,2019,Both sexes,10.98,,
Healthy life expectancy (HALE) at age 60 (years),Micronesia (Federated States of),2019,Both sexes,11.14,,
Healthy life expectancy (HALE) at age 60 (years),Somalia,2019,Both sexes,11.18,10,49
Healthy life expectancy (HALE) at age 60 (years),Guinea-Bissau,2019,Both sexes,11.38,12,-15
Healthy life expectancy (HALE) at age 60 (years),Eritrea,2019,Both sexes,11.41,15,39
Healthy life expectancy (HALE) at age 60 (years),Zimbabwe,2019,Both sexes,11.48,-20,30
Healthy life expectancy (HALE) at age 60 (years),Mozambique,2019,Both sexes,11.59,-18.25,35
Healthy life expectancy (HALE) at age 60 (years),Solomon Islands,2019,Both sexes,11.78,-8,159
Healthy life expectancy (HALE) at age 60 (years),Botswana,2019,Both sexes,11.79,-22,24
Healthy life expectancy (HALE) at age 60 (years),Fiji,2019,Both sexes,11.84,-18,175
Healthy life expectancy (HALE) at age 60 (years),Vanuatu,2019,Both sexes,11.94,-16,167
Healthy life expectancy (HALE) at age 60 (years),Congo,2019,Both sexes,12.25,-1,15
Healthy life expectancy (HALE) at age 60 (years),Chad,2019,Both sexes,12.26,15,19
Healthy life expectancy (HALE) at age 60 (years),Papua New Guinea,2019,Both sexes,12.28,-6,147
Healthy life expectancy (HALE) at age 60 (years),Guinea,2019,Both sexes,12.31,11,-10
Healthy life expectancy (HALE) at age 60 (years),Guyana,2019,Both sexes,12.51,5,-59
Healthy life expectancy (HALE) at age 60 (years),Democratic Republic of the Congo,2019,Both sexes,12.53,,
Healthy life expectancy (HALE) at age 60 (years),Pakistan,2019,Both sexes,12.57,30,70
Healthy life expectancy (HALE) at age 60 (years),Zambia,2019,Both sexes,12.58,-15,30
Healthy life expectancy (HALE) at age 60 (years),Burkina Faso,2019,Both sexes,12.61,13,-2
Healthy life expectancy (HALE) at age 60 (years),Sierra Leone,2019,Both sexes,12.61,8.5,-11.5
Healthy life expectancy (HALE) at age 60 (years),Mongolia,2019,Both sexes,12.62,46,105
Healthy life expectancy (HALE) at age 60 (years),Angola,2019,Both sexes,12.64,-12.5,18.5
Healthy life expectancy (HALE) at age 60 (years),Gambia,2019,Both sexes,12.64,13.47,-16.57
Healthy life expectancy (HALE) at age 60 (years),Madagascar,2019,Both sexes,12.64,-20,47
Healthy life expectancy (HALE) at age 60 (years),Burundi,2019,Both sexes,12.66,-3.5,30
Healthy life expectancy (HALE) at age 60 (years),South Sudan,2019,Both sexes,12.66,,
Healthy life expectancy (HALE) at age 60 (years),Côte d’Ivoire,2019,Both sexes,12.68,,
Healthy life expectancy (HALE) at age 60 (years),Namibia,2019,Both sexes,12.72,-22,17
Healthy life expectancy (HALE) at age 60 (years),Tajikistan,2019,Both sexes,12.73,39,71
Healthy life expectancy (HALE) at age 60 (years),Cameroon,2019,Both sexes,12.77,6,12
Healthy life expectancy (HALE) at age 60 (years),Gabon,2019,Both sexes,12.77,-1,11.75
Healthy life expectancy (HALE) at age 60 (years),Malawi,2019,Both sexes,12.78,-13.5,34
Healthy life expectancy (HALE) at age 60 (years),Togo,2019,Both sexes,12.78,8,1.17
Healthy life expectancy (HALE) at age 60 (years),Haiti,2019,Both sexes,12.8,19,-72.42
Healthy life expectancy (HALE) at age 60 (years),Mali,2019,Both sexes,12.8,17,-4
Healthy life expectancy (HALE) at age 60 (years),Liberia,2019,Both sexes,12.85,6.5,-9.5
Healthy life expectancy (HALE) at age 60 (years),Equatorial Guinea,2019,Both sexes,12.92,2,10
Healthy life expectancy (HALE) at age 60 (years),Ghana,2019,Both sexes,12.94,8,-2
Healthy life expectancy (HALE) at age 60 (years),Niger,2019,Both sexes,12.99,16,8
Healthy life expectancy (HALE) at age 60 (years),Benin,2019,Both sexes,13.01,9.5,2.25
Healthy life expectancy (HALE) at age 60 (years),Kenya,2019,Both sexes,13.06,1,38
Healthy life expectancy (HALE) at age 60 (years),Senegal,2019,Both sexes,13.14,14,-14
Healthy life expectancy (HALE) at age 60 (years),Sao Tome and Principe,2019,Both sexes,13.15,1,7
Healthy life expectancy (HALE) at age 60 (years),Timor-Leste,2019,Both sexes,13.17,,
Healthy life expectancy (HALE) at age 60 (years),Cambodia,2019,Both sexes,13.18,13,105
Healthy life expectancy (HALE) at age 60 (years),Oman,2019,Both sexes,13.18,21,57
Healthy life expectancy (HALE) at age 60 (years),India,2019,Both sexes,13.25,20,77
Healthy life expectancy (HALE) at age 60 (years),Nepal,2019,Both sexes,13.25,28,84
Healthy life expectancy (HALE) at age 60 (years),Yemen,2019,Both sexes,13.27,15,48
Healthy life expectancy (HALE) at age 60 (years),Lao People's Democratic Republic,2019,Both sexes,13.3,18,105
Healthy life expectancy (HALE) at age 60 (years),Indonesia,2019,Both sexes,13.35,-5,120
Healthy life expectancy (HALE) at age 60 (years),Azerbaijan,2019,Both sexes,13.37,40.5,47.5
Healthy life expectancy (HALE) at age 60 (years),Egypt,2019,Both sexes,13.37,27,30
Healthy life expectancy (HALE) at age 60 (years),United Republic of Tanzania,2019,Both sexes,13.37,,
Healthy life expectancy (HALE) at age 60 (years),Samoa,2019,Both sexes,13.4,-13.58,-172.33
Healthy life expectancy (HALE) at age 60 (years),Uganda,2019,Both sexes,13.4,1,32
Healthy life expectancy (HALE) at age 60 (years),Philippines,2019,Both sexes,13.41,13,122
Healthy life expectancy (HALE) at age 60 (years),Nigeria,2019,Both sexes,13.54,10,8
Healthy life expectancy (HALE) at age 60 (years),Myanmar,2019,Both sexes,13.59,22,98
Healthy life expectancy (HALE) at age 60 (years),Rwanda,2019,Both sexes,13.6,-2,30
Healthy life expectancy (HALE) at age 60 (years),Djibouti,2019,Both sexes,13.61,11.5,43
Healthy life expectancy (HALE) at age 60 (years),Sudan,2019,Both sexes,13.64,15,30
Healthy life expectancy (HALE) at age 60 (years),Comoros,2019,Both sexes,13.69,-12.17,44.25
Healthy life expectancy (HALE) at age 60 (years),Honduras,2019,Both sexes,13.83,15,-86.5
Healthy life expectancy (HALE) at age 60 (years),Bahrain,2019,Both sexes,13.84,26,50.55
Healthy life expectancy (HALE) at age 60 (years),South Africa,2019,Both sexes,13.86,-29,24
Healthy life expectancy (HALE) at age 60 (years),Ethiopia,2019,Both sexes,13.87,8,38
Healthy life expectancy (HALE) at age 60 (years),Syrian Arab Republic,2019,Both sexes,13.94,35,38
Healthy life expectancy (HALE) at age 60 (years),The former Yugoslav Republic of Macedonia,2019,Both sexes,14.02,,
Healthy life expectancy (HALE) at age 60 (years),Saudi Arabia,2019,Both sexes,14.04,25,45
Healthy life expectancy (HALE) at age 60 (years),Suriname,2019,Both sexes,14.05,4,-56
